Continent ID,Continent,Country ID,Country,ISO 3,Trade Value
af,Africa,afago,Angola,ago,17723995586
af,Africa,afbwa,Botswana,bwa,2006
af,Africa,afciv,Cote d'Ivoire,civ,341269336
af,Africa,afcmr,Cameroon,cmr,1462174909
af,Africa,afcod,Democratic Republic of the Congo,cod,381515109
af,Africa,afcog,Republic of the Congo,cog,3566570248
af,Africa,afdza,Algeria,dza,6256735353
af,Africa,afegy,Egypt,egy,2738151561
af,Africa,afgab,Gabon,gab,2357009077
af,Africa,afgha,Ghana,gha,2713489325
af,Africa,afgin,Guinea,gin,49505869
af,Africa,afgnq,Equatorial Guinea,gnq,1925985627
af,Africa,afken,Kenya,ken,4643
af,Africa,aflby,Libya,lby,5459550656
af,Africa,afmli,Mali,mli,1459
af,Africa,afmoz,Mozambique,moz,13351478
af,Africa,afmus,Mauritius,mus,264
af,Africa,afnam,Namibia,nam,58565
af,Africa,afner,Niger,ner,8896476
af,Africa,afnga,Nigeria,nga,29970258368
af,Africa,afsdn,Sudan,sdn,317317240
af,Africa,afsen,Senegal,sen,6955687
af,Africa,afssd,South Sudan,ssd,701183903
af,Africa,afswz,Eswatini,swz,19
af,Africa,aftcd,Chad,tcd,1185834758
af,Africa,aftgo,Togo,tgo,29719526
af,Africa,aftun,Tunisia,tun,216699999
af,Africa,aftza,Tanzania,tza,114
af,Africa,afuga,Uganda,uga,307
af,Africa,afzaf,South Africa,zaf,121620117
af,Africa,afzmb,Zambia,zmb,65037
as,Asia,asare,United Arab Emirates,are,42031702338
as,Asia,asaze,Azerbaijan,aze,9298702892
as,Asia,asbhr,Bahrain,bhr,142817232
as,Asia,asbrn,Brunei,brn,1469159878
as,Asia,aschn,China,chn,381517773
as,Asia,ascyp,Cyprus,cyp,22083463
as,Asia,asgeo,Georgia,geo,22503477
as,Asia,ashkg,Hong Kong,hkg,308
as,Asia,asidn,Indonesia,idn,1440371921
as,Asia,asind,India,ind,11936191
as,Asia,asirn,Iran,irn,1180038748
as,Asia,asirq,Iraq,irq,45150703543
as,Asia,asisr,Israel,isr,32656089
as,Asia,asjpn,Japan,jpn,65251
as,Asia,askaz,Kazakhstan,kaz,25241261466
as,Asia,askgz,Kyrgyzstan,kgz,10414781
as,Asia,askor,South Korea,kor,255722619
as,Asia,askwt,Kuwait,kwt,27617215350
as,Asia,aslbn,Lebanon,lbn,115
as,Asia,asmmr,Burma,mmr,19012801
as,Asia,asmng,Mongolia,mng,149984962
as,Asia,asmys,Malaysia,mys,5176852384
as,Asia,asomn,Oman,omn,13286121132
as,Asia,aspak,Pakistan,pak,73379555
as,Asia,asphl,Philippines,phl,191885452
as,Asia,asqat,Qatar,qat,9891771505
as,Asia,assau,Saudi Arabia,sau,95694454134
